12;11;0,013000
18;9;0,002000
30;2;0,001000
12;10;0,033000
6;1;0,000000
24;12;0,001000
18;2;0,000000
30;10;0,001000
18;18;0,258000
36;12;0,002000
24;6;0,001000
36;3;0,000000
24;4;0,001000
18;5;0,000000
30;7;0,001000
30;9;0,001000
18;3;0,000000
24;13;0,000000
36;27;0,003000
30;19;0,002000
12;8;0,001000
36;14;0,001000
24;22;0,004000
24;4;0,000000
12;6;0,000000
24;10;0,000000
30;13;0,001000
24;19;0,002000
18;16;0,331000
6;6;0,003000
30;19;0,001000
6;2;0,000000
18;13;0,001000
30;12;0,001000
30;30;0,791000
12;11;0,002000
30;6;0,001000
24;22;0,025000
36;35;0,017000
36;18;0,001000
24;15;0,001000
24;6;0,001000
18;16;0,001000
6;4;0,001000
30;24;0,002000
6;2;0,000000
12;6;0,001000
36;3;0,000000
18;15;0,019000
18;6;0,001000
12;7;0,000000
36;8;0,001000
30;3;0,001000
12;6;0,000000
30;13;0,001000
12;6;0,001000
12;6;0,001000
18;13;0,001000
24;6;0,001000
30;25;0,002000
18;11;0,001000
18;11;0,001000
12;7;0,001000
18;5;0,000000
12;12;0,003000
12;10;0,004000
6;4;0,000000
24;11;0,001000
30;3;0,001000
24;24;0,048000
12;6;0,001000
18;1;0,001000
6;2;0,000000
18;16;0,004000
12;5;0,000000
30;15;0,001000
24;1;0,000000
12;5;0,001000
12;8;0,001000
6;4;0,001000
12;12;0,026000
6;2;0,001000
24;21;0,002000
36;32;0,005000
30;21;0,047000
18;7;0,001000
30;2;0,001000
18;16;0,015000
24;17;0,002000
6;4;0,002000
30;6;0,001000
12;12;0,019000
12;7;0,001000
36;34;0,080000
36;16;0,001000
18;17;0,317000
12;1;0,000000
18;7;0,000000
36;18;0,002000
30;11;0,001000
30;28;0,187000
6;2;0,001000
18;1;0,001000
18;5;0,001000
6;5;0,000000
24;10;0,001000
36;11;0,001000
12;11;0,045000
30;15;0,001000
12;6;0,001000
36;17;0,001000
36;12;0,001000
18;18;0,007000
18;1;0,000000
36;24;0,002000
18;9;0,001000
12;7;0,001000
30;17;0,001000
36;12;0,001000
12;5;0,001000
18;5;0,001000
36;3;0,001000
30;11;0,001000
36;33;0,007000
36;30;0,012000
36;9;0,001000
24;23;0,012000
12;8;0,001000
36;35;0,724000
24;10;0,001000
24;1;0,000000
24;14;0,001000
6;5;0,000000
30;8;0,001000
30;27;0,004000
36;15;0,001000
18;1;0,000000
36;4;0,001000
18;9;0,001000
12;9;0,001000
24;19;0,001000
24;4;0,000000
12;8;0,001000
24;14;0,001000
30;17;0,001000
12;5;0,001000
12;4;0,001000
12;3;0,001000
12;2;0,000000
24;16;0,001000
12;5;0,000000
18;2;0,001000
24;7;0,001000
24;12;0,001000
30;12;0,000000
36;32;0,011000
12;10;0,001000
24;22;0,002000
18;5;0,001000
30;10;0,000000
30;5;0,000000
24;22;0,485000
18;5;0,000000
24;18;0,002000
36;35;0,003000
24;23;0,005000
12;8;0,001000
36;19;0,002000
24;5;0,001000
12;7;0,001000
36;13;0,001000
18;8;0,001000
18;4;0,000000
6;6;0,001000
18;18;0,020000
6;3;0,001000
18;16;0,002000
12;12;0,072000
24;8;0,001000
6;3;0,001000
36;25;0,002000
24;9;0,001000
36;27;0,002000
24;20;0,002000
24;6;0,001000
36;11;0,001000
18;5;0,001000
18;15;0,005000
12;3;0,001000
24;8;0,001000
12;5;0,001000
18;12;0,001000
24;11;0,002000
24;14;0,003000
24;20;0,002000
36;27;0,003000
36;33;1,605000
18;8;0,001000
12;5;0,001000
12;8;0,001000
18;13;0,001000
18;7;0,001000
12;1;0,000000
12;11;0,001000
12;7;0,000000
24;15;0,001000
24;1;0,001000
18;4;0,001000
36;29;0,002000
30;25;0,002000
12;7;0,001000
36;30;0,002000
